id,nombre,direccion,circuitoCodigo,lat,lng,coverageEstado,coverageCriticas,coverageParciales,coverageOptimas
529261f1-4b5c-4026-adcf-52635b5b8267,ESC.SUP.NRO 1 F DE AZARA,LA RIOJA 127,1,-27.3687438,-55.8949184,critico,7,0,0
fa7ee9a6-63dc-4796-a106-7ae073fca5b6,Escuela 541 Los tulipanes,CAPITAN MORALES Calle 31 (entre Calle 164 y,6,-27.4218952,-55.8847442,critico,6,0,0
7c6575bb-3471-40a6-8f47-5ac332d85c2e,Escuela 808 Prosol,CALLE 123 Y 154 Bº PRO,7,-27.410297,-55.9420921,critico,7,0,0
32246960-4737-4840-82d8-9eaa886b109d,Escuela 820 - Barrio El Porvenir I,CALLE 198 - Atrás del,4B,-27.4527088,-55.8945158,critico,3,0,0
a536c5a8-240d-4657-a184-fc5055831699,Escuela 826 Gendarme Argentino,AV 170 Y AV 147 B.,7,-27.4148533,-55.9557893,critico,8,0,0
ef8fac5b-8766-4d8f-a8e1-2f981a5df480,Escuela 835 Pte. Nestor Carlos Kirchner,AV SANTA CRUZ (CASI AV.,4,-27.394941,-55.9446454,critico,7,0,0
36e8746e-97cd-4db2-b509-d4aae3d9e582,Escuela 960 Itaembé Guazú,Yaguareté y Av. Los Lirios,7A,-27.4057146,-55.9955642,critico,7,0,0
d68406ad-eed3-497d-9d7b-f55554e360f1,Escuela CEP 57 Secundaria,9 DE JULIO (B. SAN LUCAS),4A,-27.4305144,-55.9249171,critico,7,0,0
4cc0de90-4d68-4b81-a3d7-944b5c0ecee5,"Escuela de Comercio N°18 ""Gral. Don José de San Martí",,5,-27.4021556,-55.8984533,optimo,0,0,0
a202526f-3a03-4492-98eb-ffb7429e0903,Escuela de Comercio Nº8,ESCUELA DE COMERCIO N 8 AV LAS PALMERAS (CASI,6,-27.4289913,-55.8904037,critico,7,0,0
91e2f3ae-bf43-4837-962b-4761bef8b110,Escuela Especial 10,AV TAMBOR DE TACUARI Y,3,-27.3688926,-55.9213088,critico,4,0,0
7eaa4438-33ac-4c54-a5af-adf3e0da0de0,ESCUELA JESUS NIÑO,Acevedo 4026,3,-27.3669788,-55.915849,critico,5,0,0
8efabceb-487f-40df-b571-64df355d3129,"Escuela N°122 ""Combate de San Lorenzo""",CALLE PALMA 71 B SAN,4A,-27.4165049,-55.917365,critico,7,0,0
79eda1d4-f595-4689-affa-0dcfe4d22b8c,"Escuela N°125 ""Gral. M. M. de Güemes""",RUTA 12 KM 5 S/N,4A,-27.4159969,-55.9010335,critico,7,0,0
8d01f279-225a-45dd-bd0d-3a6a1598fc8f,Escuela N°250 “Sargento Cabral”,LUCHESSI ADAN 2599,4,-27.38195,-55.9047017,critico,7,0,0
db213d98-66ab-4cd3-b905-15c4a78f8e0a,Escuela n° 269,NUESTRA SRA A.DE ITAPUA,6,-27.4291777,-55.8817939,critico,6,0,0
51a48b9d-642f-4b24-b304-e7f6ff022ad5,ESCUELA N 356,AV QUARANTA/P NUÑEZ B,7,-27.4013183,-55.9308056,critico,8,0,0
31bf7178-f77d-4cd5-876a-ab06b79d3a57,"Escuela N°42 ""República del Paraguay""",CH 149 PENINSULA,3A,-27.3672821,-55.948976,critico,7,0,0
b108513f-7384-4e0b-975e-325ca17e3651,"Escuela N°449 ""Tomás de Rocamora""",AV BLAS PARERA 3477,4,-27.3764136,-55.9117196,critico,7,0,0
463c3387-0d0e-43fe-a701-4e43c6df8e72,ESCUELA N 504 PRIMERA JUNTA,AV COMANDANTE,4,-27.3944622,-55.9029739,critico,8,0,0
36bea89a-b490-4f16-aba3-599a3470b837,Escuela N°609 MANUEL DORREGO,150 Y COCOMAROLA S/N,4A,-27.416227,-55.9122519,critico,7,0,0
9c44973b-3e28-427e-9644-3373642812aa,ESCUELA N 748 CENTRO CORRENTINO,AV 147 y Calle 149A B,7,-27.4173692,-55.9569545,critico,7,0,0
